image,tp,fp,fn,small_tp,small_fn,tiny_side_tp,tiny_side_fn,detections,mean_confidence,illumination_mean,detector_route,gate_mode,residual_l1
datasets\VisDrone-LL\LL2\images\val\0000117_01326_d_0000088.jpg,10,12,52,0,34,0,28,1000,0.025810495018959045,0.023266594296311373,lowlight,none,0.0
datasets\VisDrone-LL\LL2\images\val\0000117_01731_d_0000089.jpg,13,7,34,1,26,0,20,1000,0.02666686847805977,0.01724864870977226,lowlight,none,0.0
datasets\VisDrone-LL\LL2\images\val\0000117_02708_d_0000090.jpg,8,10,92,1,63,1,40,1000,0.022871477529406548,0.021790325741984605,lowlight,none,0.0
datasets\VisDrone-LL\LL2\images\val\0000117_03096_d_0000091.jpg,7,10,17,2,6,0,0,1000,0.020477110520005226,0.01673597258972793,lowlight,none,0.0
datasets\VisDrone-LL\LL2\images\val\0000129_02411_d_0000138.jpg,81,54,105,2,71,0,69,1000,0.10433179140090942,0.053394223931856694,lowlight,none,0.0
datasets\VisDrone-LL\LL2\images\val\0000153_00001_d_0000001.jpg,8,10,47,5,42,1,32,1000,0.02016187272965908,0.08427568234083757,lowlight,none,0.0
datasets\VisDrone-LL\LL2\images\val\0000153_00401_d_0000001.jpg,12,11,47,9,38,4,28,1000,0.023567527532577515,0.10307061698136044,lowlight,none,0.0
datasets\VisDrone-LL\LL2\images\val\0000153_00801_d_0000001.jpg,7,15,42,3,37,2,30,886,0.025992605835199356,0.1429783572379569,lowlight,none,0.0
datasets\VisDrone-LL\LL2\images\val\0000153_01201_d_0000001.jpg,6,9,53,6,51,5,44,1000,0.018886078149080276,0.1316708348462842,lowlight,none,0.0
datasets\VisDrone-LL\LL2\images\val\0000153_01601_d_0000001.jpg,8,17,55,6,51,6,46,923,0.02587743103504181,0.14067659162430404,lowlight,none,0.0
datasets\VisDrone-LL\LL2\images\val\0000153_01801_d_0000001.jpg,9,13,46,7,45,5,41,1000,0.02485341764986515,0.15795809882595013,lowlight,none,0.0
datasets\VisDrone-LL\LL2\images\val\0000154_00001_d_0000001.jpg,12,16,39,8,35,3,31,1000,0.02495555393397808,0.08548023329702252,lowlight,none,0.0
datasets\VisDrone-LL\LL2\images\val\0000154_00401_d_0000001.jpg,9,10,51,7,44,4,31,1000,0.02299814671278,0.10976710390946502,lowlight,none,0.0
datasets\VisDrone-LL\LL2\images\val\0000154_00801_d_0000001.jpg,14,20,58,12,55,5,48,1000,0.033078450709581375,0.14480800653594772,lowlight,none,0.0
datasets\VisDrone-LL\LL2\images\val\0000154_01201_d_0000001.jpg,19,17,62,16,59,8,46,1000,0.03732497990131378,0.15981345315904139,lowlight,none,0.0
datasets\VisDrone-LL\LL2\images\val\0000154_01601_d_0000001.jpg,19,25,82,14,72,7,61,1000,0.05680883675813675,0.0905054163640765,lowlight,none,0.0
datasets\VisDrone-LL\LL2\images\val\0000154_02001_d_0000001.jpg,20,35,63,16,58,12,48,1000,0.05742400139570236,0.11880798384168482,lowlight,none,0.0
datasets\VisDrone-LL\LL2\images\val\0000155_00001_d_0000001.jpg,17,34,80,10,63,6,46,1000,0.04894208163022995,0.051069845376422174,lowlight,none,0.0
datasets\VisDrone-LL\LL2\images\val\0000155_00401_d_0000001.jpg,28,34,94,19,87,9,69,1000,0.05820498615503311,0.06746253177196805,lowlight,none,0.0
datasets\VisDrone-LL\LL2\images\val\0000155_00801_d_0000001.jpg,16,26,90,10,76,5,67,1000,0.048379428684711456,0.03972755537400145,lowlight,none,0.0
datasets\VisDrone-LL\LL2\images\val\0000155_01201_d_0000001.jpg,14,18,80,9,73,6,57,1000,0.03927653282880783,0.05100577190752844,lowlight,none,0.0
datasets\VisDrone-LL\LL2\images\val\0000155_01601_d_0000001.jpg,22,29,51,17,46,10,28,1000,0.05249519646167755,0.06052240680222706,lowlight,none,0.0
datasets\VisDrone-LL\LL2\images\val\0000155_01871_d_0000001.jpg,10,8,45,9,37,7,30,976,0.022688252851366997,0.07046777414669572,lowlight,none,0.0
datasets\VisDrone-LL\LL2\images\val\0000162_00001_d_0000001.jpg,10,3,24,4,22,1,15,1000,0.019803417846560478,0.05187214808763012,lowlight,none,0.0
datasets\VisDrone-LL\LL2\images\val\0000162_00401_d_0000001.jpg,9,6,36,7,32,3,26,1000,0.023968830704689026,0.0650063619583636,lowlight,none,0.0
datasets\VisDrone-LL\LL2\images\val\0000162_00801_d_0000001.jpg,8,18,22,6,19,2,12,1000,0.026500316336750984,0.056363925199709515,lowlight,none,0.0
datasets\VisDrone-LL\LL2\images\val\0000162_01058_d_0000001.jpg,6,16,51,4,44,1,41,1000,0.029001619666814804,0.06302363985717745,lowlight,none,0.0
datasets\VisDrone-LL\LL2\images\val\0000163_00001_d_0000001.jpg,17,12,52,14,44,9,32,1000,0.032631903886795044,0.060124288913096104,lowlight,none,0.0
datasets\VisDrone-LL\LL2\images\val\0000163_00359_d_0000001.jpg,10,9,44,7,42,7,41,1000,0.019336005672812462,0.09452010711692084,lowlight,none,0.0
datasets\VisDrone-LL\LL2\images\val\0000165_04325_d_0000105.jpg,9,10,20,3,11,0,5,1000,0.02321748621761799,0.07652194913459211,lowlight,none,0.0
datasets\VisDrone-LL\LL2\images\val\0000166_00558_d_0000118.jpg,9,4,62,0,19,0,10,1000,0.023719722405076027,0.03103398654986686,lowlight,none,0.0
datasets\VisDrone-LL\LL2\images\val\0000193_00000_d_0000103.jpg,12,12,51,6,48,1,39,1000,0.03024645894765854,0.06966359537642218,lowlight,none,0.0
datasets\VisDrone-LL\LL2\images\val\0000193_01497_d_0000111.jpg,17,26,70,14,58,2,33,1000,0.04608898237347603,0.04709800895666909,lowlight,none,0.0
datasets\VisDrone-LL\LL2\images\val\0000193_01705_d_0000112.jpg,25,13,109,12,105,3,80,1000,0.04680198058485985,0.07077249001452432,lowlight,none,0.0
datasets\VisDrone-LL\LL2\images\val\0000193_01876_d_0000113.jpg,16,7,91,9,88,3,68,1000,0.03885950148105621,0.04378272512708787,lowlight,none,0.0
