image,tp,fp,fn,small_tp,small_fn,tiny_side_tp,tiny_side_fn,detections,mean_confidence,illumination_mean,detector_route,gate_mode,residual_l1
datasets\AU-AIR-YOLO\images\test\frame_20190905111947_x\frame_20190905111947_x_0000205.jpg,3,12,2,0,0,0,0,819,0.018988436087965965,0.4839233047385621,lowlight,none,0.0
datasets\AU-AIR-YOLO\images\test\frame_20190905111947_x\frame_20190905111947_x_0000206.jpg,0,13,1,0,0,0,0,815,0.01907588541507721,0.482369328325466,lowlight,none,0.0
datasets\AU-AIR-YOLO\images\test\frame_20190905111947_x\frame_20190905111947_x_0000207.jpg,2,14,2,0,0,0,0,763,0.022246692329645157,0.4830933566327766,lowlight,none,0.0
datasets\AU-AIR-YOLO\images\test\frame_20190905111947_x\frame_20190905111947_x_0000208.jpg,0,17,5,0,0,0,0,828,0.02238723263144493,0.482743488637739,lowlight,none,0.0
datasets\AU-AIR-YOLO\images\test\frame_20190905111947_x\frame_20190905111947_x_0000209.jpg,0,15,1,0,0,0,0,860,0.019415410235524178,0.48336931130476884,lowlight,none,0.0
datasets\AU-AIR-YOLO\images\test\frame_20190905111947_x\frame_20190905111947_x_0000210.jpg,0,13,5,0,0,0,0,787,0.019760124385356903,0.48307295638162673,lowlight,none,0.0
datasets\AU-AIR-YOLO\images\test\frame_20190905111947_x\frame_20190905111947_x_0000211.jpg,1,16,4,0,0,0,0,801,0.02162966877222061,0.48237019259864444,lowlight,none,0.0
datasets\AU-AIR-YOLO\images\test\frame_20190905111947_x\frame_20190905111947_x_0000212.jpg,0,20,7,0,0,0,0,778,0.023556208238005638,0.48274488811728394,lowlight,none,0.0
datasets\AU-AIR-YOLO\images\test\frame_20190905111947_x\frame_20190905111947_x_0000213.jpg,1,17,5,0,0,0,0,778,0.022015122696757317,0.4825044121429436,lowlight,none,0.0
datasets\AU-AIR-YOLO\images\test\frame_20190905111947_x\frame_20190905111947_x_0000214.jpg,7,12,4,4,2,0,0,773,0.024361636489629745,0.48282455065359475,lowlight,none,0.0
datasets\AU-AIR-YOLO\images\test\frame_20190905111947_x\frame_20190905111947_x_0000215.jpg,0,18,5,0,0,0,0,861,0.022792363539338112,0.4824823438634713,lowlight,none,0.0
datasets\AU-AIR-YOLO\images\test\frame_20190905111947_x\frame_20190905111947_x_0000216.jpg,0,20,1,0,0,0,0,874,0.02313445881009102,0.48183078590232387,lowlight,none,0.0
datasets\AU-AIR-YOLO\images\test\frame_20190905111947_x\frame_20190905111947_x_0000217.jpg,0,17,3,0,0,0,0,745,0.020395934581756592,0.4827619012496974,lowlight,none,0.0
datasets\AU-AIR-YOLO\images\test\frame_20190905111947_x\frame_20190905111947_x_0000218.jpg,1,15,5,0,1,0,0,739,0.021652601659297943,0.48309063143004116,lowlight,none,0.0
datasets\AU-AIR-YOLO\images\test\frame_20190905111947_x\frame_20190905111947_x_0000219.jpg,2,16,2,0,0,0,0,826,0.022962598130106926,0.48331274585451467,lowlight,none,0.0
datasets\AU-AIR-YOLO\images\test\frame_20190905111947_x\frame_20190905111947_x_0000220.jpg,2,18,1,0,0,0,0,893,0.021357612684369087,0.4835793069928589,lowlight,none,0.0
datasets\AU-AIR-YOLO\images\test\frame_20190905111947_x\frame_20190905111947_x_0000221.jpg,9,8,11,0,7,0,2,884,0.02127004601061344,0.4823667336147422,lowlight,none,0.0
