image,tp,fp,fn,small_tp,small_fn,tiny_side_tp,tiny_side_fn,detections,mean_confidence,illumination_mean,detector_route,gate_mode,residual_l1
datasets\ExDark-YOLO\images\test\2015_00470.jpg,0,0,9,0,0,0,0,498,0.006566961761564016,0.08404966828552408,lowlight,none,0.0
datasets\ExDark-YOLO\images\test\2015_00471.jpg,0,6,6,0,0,0,0,197,0.02697242982685566,0.07948945567810457,lowlight,none,0.0
datasets\ExDark-YOLO\images\test\2015_00472.jpg,0,3,5,0,0,0,0,161,0.018819428980350494,0.04422422640931373,lowlight,none,0.0
datasets\ExDark-YOLO\images\test\2015_00473.jpg,0,2,7,0,0,0,0,314,0.013736438937485218,0.10737437448937909,lowlight,none,0.0
datasets\ExDark-YOLO\images\test\2015_00474.jpg,0,8,4,0,0,0,0,437,0.020428631454706192,0.05987410641339869,lowlight,none,0.0
datasets\ExDark-YOLO\images\test\2015_00475.jpg,0,0,1,0,0,0,0,275,0.006790763698518276,0.053076969720179744,lowlight,none,0.0
datasets\ExDark-YOLO\images\test\2015_00476.jpg,0,0,4,0,0,0,0,373,0.005816591437906027,0.09000479345383987,lowlight,none,0.0
datasets\ExDark-YOLO\images\test\2015_00477.jpg,0,3,3,0,0,0,0,132,0.021417059004306793,0.3246420232663296,lowlight,none,0.0
datasets\ExDark-YOLO\images\test\2015_00478.jpg,0,0,1,0,0,0,0,547,0.004989951848983765,0.19146646662955255,lowlight,none,0.0
datasets\ExDark-YOLO\images\test\2015_00479.jpg,0,1,4,0,0,0,0,237,0.006474314257502556,0.18843278867102395,lowlight,none,0.0
datasets\ExDark-YOLO\images\test\2015_00480.jpg,0,4,2,0,0,0,0,155,0.02619819901883602,0.09083074795291307,lowlight,none,0.0
datasets\ExDark-YOLO\images\test\2015_00481.jpg,0,0,1,0,0,0,0,193,0.005712051410228014,0.21294676437127752,lowlight,none,0.0
datasets\ExDark-YOLO\images\test\2015_00482.jpg,0,10,4,0,0,0,0,550,0.02049078233540058,0.260341185526131,lowlight,none,0.0
datasets\ExDark-YOLO\images\test\2015_00483.jpg,0,0,2,0,0,0,0,257,0.008581672795116901,0.19776076978939724,lowlight,none,0.0
datasets\ExDark-YOLO\images\test\2015_00484.jpg,0,0,2,0,0,0,0,29,0.00554370041936636,0.3008603809544593,lowlight,none,0.0
datasets\ExDark-YOLO\images\test\2015_00485.jpg,0,1,2,0,0,0,0,337,0.007777173072099686,0.20499316199166778,lowlight,none,0.0
datasets\ExDark-YOLO\images\test\2015_00486.jpg,0,1,3,0,0,0,0,112,0.014851649291813374,0.16379078914612893,lowlight,none,0.0
datasets\ExDark-YOLO\images\test\2015_00487.jpg,0,0,1,0,0,0,0,134,0.005207571666687727,0.13355967450607975,lowlight,none,0.0
datasets\ExDark-YOLO\images\test\2015_00488.jpg,0,2,3,0,0,0,0,367,0.009161691181361675,0.10388523284313725,lowlight,none,0.0
datasets\ExDark-YOLO\images\test\2015_00489.jpg,0,0,1,0,0,0,0,289,0.006064453162252903,0.23911930745897703,lowlight,none,0.0
datasets\ExDark-YOLO\images\test\2015_00490.jpg,0,2,5,0,0,0,0,351,0.012050775811076164,0.0857402379755321,lowlight,none,0.0
datasets\ExDark-YOLO\images\test\2015_00491.jpg,0,0,4,0,0,0,0,425,0.007945477962493896,0.19831453046905034,lowlight,none,0.0
datasets\ExDark-YOLO\images\test\2015_00492.jpg,0,0,1,0,0,0,0,98,0.010816385969519615,0.15228182505536852,lowlight,none,0.0
datasets\ExDark-YOLO\images\test\2015_00493.jpg,0,0,1,0,0,0,0,207,0.007716802414506674,0.2022638638012343,lowlight,none,0.0
datasets\ExDark-YOLO\images\test\2015_00494.jpg,0,4,1,0,0,0,0,280,0.020018309354782104,0.05121981969880675,lowlight,none,0.0
datasets\ExDark-YOLO\images\test\2015_00495.jpg,0,1,1,0,0,0,0,97,0.014149426482617855,0.061057356275843674,lowlight,none,0.0
datasets\ExDark-YOLO\images\test\2015_00496.jpg,0,0,1,0,0,0,0,87,0.003165100235491991,0.10977169150326797,lowlight,none,0.0
datasets\ExDark-YOLO\images\test\2015_00497.jpg,0,1,1,0,0,0,0,309,0.012622914277017117,0.098857777162407,lowlight,none,0.0
datasets\ExDark-YOLO\images\test\2015_00498.jpg,0,1,3,0,0,0,0,346,0.012378779239952564,0.1386806256281878,lowlight,none,0.0
datasets\ExDark-YOLO\images\test\2015_00499.jpg,0,0,5,0,0,0,0,184,0.006142769008874893,0.10232092524509805,lowlight,none,0.0
datasets\ExDark-YOLO\images\test\2015_00500.jpg,0,0,2,0,0,0,0,290,0.005233170464634895,0.10890317139689729,lowlight,none,0.0
datasets\ExDark-YOLO\images\test\2015_00501.jpg,0,6,3,0,0,0,0,606,0.009729534387588501,0.1748290554647785,lowlight,none,0.0
datasets\ExDark-YOLO\images\test\2015_00502.jpg,0,0,1,0,0,0,0,36,0.007145295385271311,0.39609511591094776,lowlight,none,0.0
datasets\ExDark-YOLO\images\test\2015_00503.png,0,3,1,0,0,0,0,116,0.02010652795433998,0.08830685763888889,lowlight,none,0.0
datasets\ExDark-YOLO\images\test\2015_00504.png,0,1,1,0,0,0,0,155,0.010428346693515778,0.12216422845179739,lowlight,none,0.0
datasets\ExDark-YOLO\images\test\2015_00505.png,0,0,1,0,0,0,0,166,0.008443155325949192,0.12268794679330067,lowlight,none,0.0
datasets\ExDark-YOLO\images\test\2015_00506.png,0,4,1,0,0,0,0,411,0.023189442232251167,0.17083227379493465,lowlight,none,0.0
datasets\ExDark-YOLO\images\test\2015_00507.png,0,17,1,0,0,0,0,217,0.046402815729379654,0.1585540492238562,lowlight,none,0.0
datasets\ExDark-YOLO\images\test\2015_00508.jpg,0,4,4,0,0,0,0,929,0.012294581159949303,0.10096640114379085,lowlight,none,0.0
datasets\ExDark-YOLO\images\test\2015_00509.jpg,0,0,2,0,0,0,0,710,0.007385114207863808,0.07154816431781046,lowlight,none,0.0
datasets\ExDark-YOLO\images\test\2015_00510.png,0,0,1,0,0,0,0,216,0.011490695178508759,0.08962516595179738,lowlight,none,0.0
datasets\ExDark-YOLO\images\test\2015_00511.jpg,0,0,1,0,0,0,0,91,0.009744680486619473,0.10523133680555556,lowlight,none,0.0
datasets\ExDark-YOLO\images\test\2015_00512.jpg,0,7,2,0,0,0,0,107,0.04923750087618828,0.04848089843411194,lowlight,none,0.0
datasets\ExDark-YOLO\images\test\2015_00513.jpg,0,0,1,0,0,0,0,237,0.004316442646086216,0.05046108639534245,lowlight,none,0.0
datasets\ExDark-YOLO\images\test\2015_00514.jpg,0,5,1,0,0,0,0,115,0.02713618054986,0.07303067984586308,lowlight,none,0.0
datasets\ExDark-YOLO\images\test\2015_00515.jpg,0,0,1,0,0,0,0,70,0.015733372420072556,0.133847779947708,lowlight,none,0.0
datasets\ExDark-YOLO\images\test\2015_00516.jpg,0,3,1,0,0,0,0,303,0.013587331399321556,0.1066809236115655,lowlight,none,0.0
